year,pop_group,mult,all,prop
2008,Black African,788,84251,9.353004712110241
2008,"Coloured, Indian or Asian, and Other",67,9652,6.941566514711977
2008,White,57,4259,13.383423338811928
2009,Black African,893,84232,10.601671573748694
2009,"Coloured, Indian or Asian, and Other",86,9898,8.68862396443726
2009,White,61,4304,14.172862453531598
2010,Black African,810,82472,9.821515180909884
2010,"Coloured, Indian or Asian, and Other",73,9495,7.688256977356503
2010,White,57,4070,14.004914004914005
2011,Black African,672,66559,10.0963055334365
2011,"Coloured, Indian or Asian, and Other",54,7412,7.285483000539665
2011,White,48,3247,14.782876501385894
