moth_age_fstbr,moth_pp_group,outcome,pred,var,upper,lower
16,Black African,educ,0.00568700748578499,6.57283928981558e-5,0.02157732510871359,-0.010203310137143613
16,Black African,behind,-0.006811065957011311,0.0021404393864119004,0.08386810445626473,-0.09749023637028735
16,Black African,private,0.013731596147746498,1.5626742842112618e-4,0.03823296249786253,-0.010769770202369536
17,Black African,educ,0.005530967859285828,7.11404947948426e-5,0.022062553530475006,-0.01100061781190335
17,Black African,behind,-0.0074361214940682815,0.0016408658970924659,0.07195878029609969,-0.08683102328423624
17,Black African,private,0.013993520898204881,1.4301114881055783e-4,0.037432625601043656,-0.009445583804633898
18,Black African,educ,0.00589530038318651,6.325130360897057e-5,0.021483315264633773,-0.009692714498260754
18,Black African,behind,-0.005773622550861561,0.0020570693478968775,0.08312203317471731,-0.09466927827644042
18,Black African,private,0.014924964984773801,1.4627358667133812e-4,0.03862991405783896,-0.008779984088291353
19,Black African,educ,0.006347354945035389,7.751002404436544e-5,0.02360315131520719,-0.01090844142513641
19,Black African,behind,-0.011262968019536149,0.002061636897089805,0.07773132563944063,-0.10025726167851293
19,Black African,private,0.01575642152630295,3.300615027007037e-4,0.051364907435914764,-0.01985206438330887
20,Black African,educ,0.004559158986877428,1.3726704976275525e-4,0.027522719215391657,-0.0184044012416368
20,Black African,behind,-0.009911141665522821,0.0018364838474285022,0.07408312211648395,-0.09390540544752958
20,Black African,private,0.016941138479185523,3.007127399480048e-4,0.050929637442573936,-0.017047360484202894
21,Black African,educ,0.0026934698509362594,1.45826007610122e-4,0.026362124033948962,-0.020975184332076444
21,Black African,behind,-0.0042389017611467045,0.0014713923604316695,0.0709442139752625,-0.07942201749755591
21,Black African,private,0.017239492019536104,3.6918017007983665e-4,0.05489905310803925,-0.02042006906896704
22,Black African,educ,0.002024558738414446,1.2204213518305376e-4,0.02367720445479791,-0.019628086977969018
22,Black African,behind,-0.003909394743835409,0.0025158172090388405,0.09440013373760738,-0.10221892322527819
22,Black African,private,0.019653942907624195,2.2388577462080145e-4,0.04898105650209972,-0.009673170686851324
23,Black African,educ,0.0011538308994238867,1.290429459191649e-4,0.02341885686040278,-0.021111195061555003
23,Black African,behind,-0.002047427104075579,0.0034637636333188985,0.11330591863742376,-0.1174007728455749
23,Black African,private,0.023904115628709945,1.499576003325238e-4,0.04790572218821807,-9.749093079818028e-5
24,Black African,educ,-3.422466870630828e-4,1.6488038062512794e-4,0.0248252814039015,-0.02550977477802767
24,Black African,behind,0.0022485791699735744,0.003544772462878724,0.11894304302064176,-0.11444588468069461
24,Black African,private,0.022789474305886404,4.923213916157188e-4,0.06627857475681487,-0.020699626145042054
25,Black African,educ,1.623190989263471e-4,1.6712196304367126e-4,0.025500348486164958,-0.025175710288312263
25,Black African,behind,0.005060585213907925,0.0027501859589725594,0.10784732745233566,-0.09772615702451981
25,Black African,private,0.020598483598668164,3.820872486173205e-4,0.058910705855910024,-0.017713738658573695
26,Black African,educ,-1.5904693448714284e-4,1.2223555576001965e-4,0.021510750272863262,-0.02182884414183755
26,Black African,behind,0.005181049110509221,0.0032098078541326317,0.11622517481032243,-0.105863076589304
26,Black African,private,0.01576408926407527,7.010118842445813e-4,0.06765828214260439,-0.03613010361445385
27,Black African,educ,-0.001245401524393203,8.901260618793929e-5,0.017246510976253872,-0.019737314025040278
27,Black African,behind,0.007562709165888101,0.0023501147607165864,0.10257955432909502,-0.08745413599731883
27,Black African,private,0.011302260778072643,8.037589182174855e-4,0.06686951966515733,-0.04426499810901204
28,Black African,educ,-0.0012404695254643037,1.712164697737761e-4,0.02440607391186733,-0.02688701296279594
28,Black African,behind,0.01185420542248145,0.0039004395590376095,0.1342630638029062,-0.1105546529579433
28,Black African,private,0.005877992305575991,8.049926389479656e-4,0.06148788101057615,-0.049731896399424165
