term,estimate,std.error,statistic,p.value,conf.low,conf.high,type
21+,-0.005650190677067841,5.9324380810875e-4,-9.524230341451927,1.6999170087549504e-21,-0.006812942006269977,-0.004487439347865705,ols_educ
21+,0.0049996279129188685,0.0059444577603672355,0.8410570172190108,0.40031811254706984,-0.006651443818091771,0.01665069964392951,iv_educ
21+,0.021937269569546766,0.0018646197812857384,11.765009569092976,6.22224848782909e-32,0.01828263533736082,0.025591903801732714,ols_behind
21+,-0.004526902710701225,0.018672117291712576,-0.2424418527357068,0.808438331651658,-0.04112404692560899,0.03207024150420654,iv_behind
21+,-0.0023492038865624907,0.0010529658232998102,-2.2310352668432274,0.025681120231523774,-0.004413005301615503,-2.854024715094783e-4,ols_private
21+,-0.015939846107668704,0.010542363130047517,-1.5119803701541497,0.13054218650526772,-0.03660276171646888,0.0047230695011314695,iv_private
21+,-0.020654291677539387,0.0015511167348395635,-13.315755812328154,2.038229526410924e-40,-0.023694463391985266,-0.01761411996309351,ols_lfp
21+,-0.021876879125484,0.015516319404552305,-1.4099270938612918,0.15856448907545925,-0.052288694243259,0.008534935992291,iv_lfp
22+,-0.005656719894583846,5.93148563792357e-4,-9.536767413575141,1.5067104276427847e-21,-0.0068192845501956045,-0.004494155238972088,ols_educ
22+,0.005005518304373157,0.005943601617487203,0.8421692143103895,0.3996953663805064,-0.006643875438315584,0.016654912047061897,iv_educ
22+,0.02195875605775285,0.0018648102015739756,11.775330293248487,5.506796155548784e-32,0.0183037485906302,0.025613763524875502,ols_behind
22+,-0.00452054367325847,0.018674264036256827,-0.2420734581283447,0.8087237672730333,-0.04112189561670509,0.032080808270188145,iv_behind
22+,-0.0023216489697873302,0.0010530538079992484,-2.204682184472939,0.027478795271198342,-0.004385622841375202,-2.576750981994587e-4,ols_private
22+,-0.01591686511470702,0.010543373118929134,-1.5096558696315643,0.13113458786083879,-0.03658176036561255,0.004748030136198511,iv_private
22+,-0.02070673096472561,0.0015510695708862523,-13.349969178296865,1.289511192902136e-40,-0.023746810249379337,-0.017666651680071886,ols_lfp
22+,-0.02195349892730018,0.015516028863845373,-1.4148916014493282,0.1571035631918114,-0.05236474469889607,0.008457746844295712,iv_lfp
23+,-0.005656830532137682,5.931142837432795e-4,-9.537505143926285,1.4960656745220676e-21,-0.006819328009087492,-0.004494333055187871,ols_educ
23+,0.004970060985472341,0.005946835713122665,0.8357488293320579,0.40329832536734056,-0.0066856716478904295,0.01662579361883511,iv_educ
23+,0.021922985000235266,0.001865364598525923,11.752654155417972,7.201490485796943e-32,0.01826689089018939,0.025579079110281143,ols_behind
23+,-0.003997462451637146,0.018690419147198302,-0.21387762468860239,0.8306429493764474,-0.040630478545306055,0.032635553642031766,iv_behind
23+,-0.002303875479868915,0.0010535526300860236,-2.186768286726028,0.0287618790367949,-0.004368827054764648,-2.389239049731813e-4,ols_private
23+,-0.015883365908802988,0.010554797788010335,-1.504847958986539,0.13236650192060986,-0.0365706535607529,0.004803921743146922,iv_private
23+,-0.020742783498635436,0.0015512723055764483,-13.371465102593627,9.666389972869056e-41,-0.023783260166830616,-0.017702306830440256,ols_lfp
23+,-0.02247644556738726,0.015527601569833975,-1.4475156041518382,0.14775587607572577,-0.052910373973378805,0.007957482838604282,iv_lfp
24+,-0.0056315392162157,5.931262593474187e-4,-9.494671880506093,2.2580269973338015e-21,-0.006794060188268893,-0.004469018244162508,ols_educ
24+,0.004845917884422505,0.005951850779035309,0.8141867234796406,0.4155400383056925,-0.006819644454315298,0.016511480223160308,iv_educ
24+,0.02178868078320271,0.0018666824428617483,11.67240891267998,1.8534368347608071e-31,0.01813000364019803,0.02544735792620739,ols_behind
24+,-0.0037033258745201875,0.018719233212511715,-0.19783534039444137,0.8431743197990876,-0.040392817946987854,0.03298616619794748,iv_behind
24+,-0.0023520262475790034,0.0010545845363385926,-2.230287062377183,0.02573072635855157,-0.004419000388372356,-2.850521067856511e-4,ols_private
24+,-0.015785880899868307,0.010574103051910184,-1.4928813179115583,0.13547158924748512,-0.036511007067814544,0.004939245268077933,iv_private
24+,-0.020815708057377254,0.0015520834868006604,-13.411461583348892,5.647651327728366e-41,-0.02385777469217506,-0.01777364142257945,ols_lfp
24+,-0.022884988853436553,0.015549246489153014,-1.4717747814597237,0.14108503040189546,-0.05336134166768077,0.007591363960807666,iv_lfp
25+,-0.005605127914265055,5.928107481039615e-4,-9.45517255244178,3.2954515731392768e-21,-0.0067670305405080605,-0.004443225288022049,ols_educ
25+,0.004925254527186891,0.00593903424658299,0.8293022607203562,0.40693549069973256,-0.006715188077004508,0.01656569713137829,iv_educ
25+,0.02167250108762785,0.0018691740915552923,11.59469371287653,4.602509822282296e-31,0.018008940174082114,0.025336062001173585,ols_behind
25+,-0.0037062896505429166,0.018713209241634624,-0.19805740440805156,0.8430005778037933,-0.04038397647189774,0.0329713971708119,iv_behind
25+,-0.0023266008706446526,0.0010571873699211267,-2.2007459953085067,0.027756425068913706,-0.0043986766308616,-2.54525110427705e-4,ols_private
25+,-0.015750761171624012,0.010582721756042619,-1.4883469049567044,0.1366627743566918,-0.036492780847334316,0.004991258504086292,iv_private
25+,-0.020832367936861634,0.0015533602297630616,-13.411163449214387,5.672095106180288e-41,-0.02387693711216043,-0.017787798761562838,ols_lfp
25+,-0.02274369736820976,0.015536392381603406,-1.4638982338744548,0.14322508867498934,-0.05319485765547412,0.007707462919054598,iv_lfp
26+,-0.005733693955885403,5.927210033879216e-4,-9.67351236604119,4.0016367517256633e-22,-0.00689542078531066,-0.004571967126460146,ols_educ
