moth_educ,moth_pp_group,outcome,pred,var,upper,lower
Completed primary,"Coloured, Indian or Asian, and Other",educ,-0.0029784817471284687,2.5783959329391605e-4,0.028493991647854454,-0.03445095514211139
Completed primary,"Coloured, Indian or Asian, and Other",behind,0.009683863777417933,0.0012352951929507294,0.07857152604897076,-0.05920379849413489
Completed primary,"Coloured, Indian or Asian, and Other",private,0.024161510559793424,7.890402015109336e-4,0.07921763499771951,-0.030894613878132665
Grade 12/Std 10,"Coloured, Indian or Asian, and Other",educ,-0.0065280733372478274,1.8431008153721085e-4,0.02008105309022719,-0.03313719976472284
Grade 12/Std 10,"Coloured, Indian or Asian, and Other",behind,0.018268305900237952,6.893395705607036e-4,0.06972864882822473,-0.033192037027748825
Grade 12/Std 10,"Coloured, Indian or Asian, and Other",private,0.03303935136724487,0.0011951406143301565,0.10079813075420496,-0.034719428019715226
Higher,"Coloured, Indian or Asian, and Other",educ,5.008225663203175e-4,1.6861427758999592e-4,0.02595172842033126,-0.024950083287690623
Higher,"Coloured, Indian or Asian, and Other",behind,0.009809277671160226,0.002215562105001324,0.10206600307680795,-0.08244744773448749
Higher,"Coloured, Indian or Asian, and Other",private,0.011679737691804597,0.0025101308732932595,0.10987810205111247,-0.08651862666750328
No schooling,"Coloured, Indian or Asian, and Other",educ,-0.002233757673210669,1.537246069411633e-4,0.022067444972443992,-0.026534960318865326
No schooling,"Coloured, Indian or Asian, and Other",behind,0.003774490269894235,0.001962792770375405,0.0906091878663859,-0.08306020732659743
No schooling,"Coloured, Indian or Asian, and Other",private,0.021666228182204917,7.975122843506798e-4,0.07701713776426664,-0.033684681399856795
Some primary,"Coloured, Indian or Asian, and Other",educ,0.01026246537594128,3.297693637166914e-4,0.045855189178061875,-0.025330258426179312
Some primary,"Coloured, Indian or Asian, and Other",behind,-0.02112884611079286,0.00277941976326602,0.08220275100530103,-0.12446044322688674
Some primary,"Coloured, Indian or Asian, and Other",private,0.02214335108774687,8.440590809862137e-4,0.07908663309288456,-0.03479993091739082
Some secondary,"Coloured, Indian or Asian, and Other",educ,-0.008742641049822827,7.805076435374458e-5,0.00857324230452399,-0.026058524404169642
Some secondary,"Coloured, Indian or Asian, and Other",behind,0.03778462868096096,9.523644529460845e-4,0.09827101791389235,-0.02270176055197043
Some secondary,"Coloured, Indian or Asian, and Other",private,0.021251304233537,5.329807020908632e-4,0.06650059887060576,-0.02399799040353176
