moth_age_fstbr,moth_pp_group,outcome,pred,var,upper,lower
16,Black African,educ,-0.013185951201660124,4.3636461737452104e-4,0.027757159502168425,-0.054129061905488676
16,Black African,behind,0.10453336615658784,0.046381816523015346,0.5266475525502884,-0.31758082023711265
16,Black African,private,-0.05258499954835432,0.003524660638535735,0.06377795120917365,-0.16894795030588228
17,Black African,educ,-0.012573470148413307,4.702214817147843e-4,0.029928327980083748,-0.05507526827691036
17,Black African,behind,0.10627169486876983,0.056760847827608055,0.5732325851096326,-0.360689195372093
17,Black African,private,-0.05421589545816864,0.003291364334849116,0.05823011482568431,-0.1666619057420216
18,Black African,educ,-0.011242516935356177,5.512657901510368e-4,0.034776421116756925,-0.057261454987469276
18,Black African,behind,0.11442903078126476,0.05950701116069381,0.5925525860208297,-0.3636945244583002
18,Black African,private,-0.05510991509901195,0.0037687843653077062,0.06521531923596072,-0.1754351494339846
19,Black African,educ,-0.009323945697593834,6.147274425292286e-4,0.039271701671489384,-0.057919593066677044
19,Black African,behind,0.09919401246096243,0.051506680364722286,0.5440176441276232,-0.3456296192056984
19,Black African,private,-0.055221905188486825,0.0033823980825580125,0.05876853508592768,-0.16921234546290131
20,Black African,educ,-0.008589692913322332,5.165019504873271e-4,0.035954598449231816,-0.05313398427587648
20,Black African,behind,0.0985252558857144,0.03798246012534008,0.4805114059193334,-0.28346089414790454
20,Black African,private,-0.054934017132773516,0.0026473580480872536,0.045912850332368874,-0.1557808845979159
21,Black African,educ,-0.010218499039349715,0.0010494579112578734,0.05327636305112376,-0.073713361129823185
21,Black African,behind,0.08959995781237778,0.028322696663593695,0.4194551859092832,-0.24025527028452764
21,Black African,private,-0.051242688105101755,0.0024132055062503766,0.04504111257191476,-0.14752648878211827
22,Black African,educ,-0.010862432269708615,6.382060137074737e-4,0.03865253740874955,-0.06037740194816678
22,Black African,behind,0.10995385738298785,0.028224764940735586,0.43923831950704534,-0.21933060474106963
22,Black African,private,-0.052294364628888194,0.003540334320649316,0.06432702417353695,-0.16891575343131335
23,Black African,educ,-0.01423502692342062,8.691988576250586e-4,0.043550043219761046,-0.07202009706660228
23,Black African,behind,0.11884121582422451,0.01983532848957037,0.39488360011608203,-0.157201168467633
23,Black African,private,-0.04479611914057598,0.006795788655251343,0.11677956497684795,-0.20637180325799992
24,Black African,educ,-0.021671386930999258,0.0010644836448100896,0.04227640716623635,-0.08561918102823488
24,Black African,behind,0.13290255313835345,0.024156693569087607,0.43753405842795234,-0.17172895215124548
24,Black African,private,-0.05424518885658154,0.008449014702610612,0.12591511443342995,-0.23440549214659306
25,Black African,educ,-0.024627465618739106,5.449229205424396e-4,0.0211259592973897,-0.07038089053486792
25,Black African,behind,0.14700815490226682,0.016348843651377114,0.39761884456080937,-0.10360253475627573
25,Black African,private,-0.04732412585099193,0.008898973925235304,0.13757124518674915,-0.23221949688873303
26,Black African,educ,-0.035960170643873426,7.871092630331133e-4,0.019028545879318924,-0.09094888716706578
26,Black African,behind,0.1827935534687564,0.02103744102886683,0.46707762522884433,-0.10149051829133152
26,Black African,private,-0.0351357795305476,0.007820971023965707,0.138199278336194,-0.20847083739728922
27,Black African,educ,-0.04055322905492389,0.0018049511172805771,0.042716814851303665,-0.12382327296115145
27,Black African,behind,0.18339937723916908,0.022092370732181742,0.4747240267365115,-0.1079252722581733
27,Black African,private,-0.026278117466306896,0.007854412097757427,0.14742711997558755,-0.19998335490820135
28,Black African,educ,-0.03985256555698358,0.0023723548480654604,0.05561281237830913,-0.13531794349227627
28,Black African,behind,0.18433399522818278,0.03629362750234795,0.5577313699016262,-0.18906337944526064
28,Black African,private,-0.028733856792085337,0.013268212555031517,0.19703408900937042,-0.2545018025935411
29,Black African,educ,-0.03830978174342408,0.0023071023658179316,0.055833536917679887,-0.13245310040452804
29,Black African,behind,0.189173149715913,0.020284262672615242,0.4683218976678225,-0.08997559823599652
29,Black African,private,-0.027064611959386226,0.024289393442520468,0.27840246294196314,-0.33253168686073564
30,Black African,educ,-0.03862614945873118,0.0014078515379953593,0.03491569215788169,-0.11216799107534405
30,Black African,behind,0.19227066883694147,0.020809486935333365,0.4750103459443058,-0.0904690082704229
30,Black African,private,-0.029869153828066992,0.03208606334032837,0.3212174749805583,-0.3809557826366923
31,Black African,educ,-0.03766270056909578,0.001109773363757293,0.027631291146911416,-0.10295669228510297
31,Black African,behind,0.19046037875709046,0.021000599007072396,0.47449541382419147,-0.09357465631001058
31,Black African,private,-0.03057958918236442,0.03232961807896777,0.3218370120329622,-0.38299619039769106
32,Black African,educ,-0.03765555910225802,0.0014404254610950948,0.03673219830003847,-0.11204331650455451
32,Black African,behind,0.19213069585432221,0.01874552086292107,0.4604826903447631,-0.07622129863611862
32,Black African,private,-0.030804863499848987,0.03101655569410959,0.31438088411220316,-0.3759906111119012
33,Black African,educ,-0.03749924701401783,0.0014460561054531903,0.03703376000105554,-0.1120322540290912
33,Black African,behind,0.19224228379310437,0.020059363107490798,0.46983920256875766,-0.08535463498254892
33,Black African,private,-0.032113120756963535,0.031246640160152408,0.3143505755219417,-0.37857681703586876
34,Black African,educ,-0.03749924701401783,0.0014460561054531903,0.03703376000105554,-0.1120322540290912
34,Black African,behind,0.19224228379310437,0.020059363107490798,0.46983920256875766,-0.08535463498254892
34,Black African,private,-0.032113120756963535,0.031246640160152408,0.3143505755219417,-0.37857681703586876
16,White,educ,-0.00411532301479107,7.619583710010195e-4,0.049987720134716855,-0.05821836616429899
16,White,behind,0.07984030286548588,0.022401318280000006,0.37319487382773975,-0.213514268096768
